From	To
Q6ZW49	PAXIP1
Q9BX63	BRIP1
Q01094	E2F1
P24928	POLR2A
P35226	BMI1
Q8N488	RYBP
Q24213	Pak
O44924	robo1
O96757	stumps
Q95RF1	CG5113
A1Z7P5	Su(var)2-10
O46087	EG:63B12.7
Q9VIE8	mAcon1
A1Z6E0	gus
Q8IN89	wrd
Q05192	Hr39
Q9VWG3	RpS10b
Q07407	htl
Q9VWF4	MKP-4
O15315	RAD51B
P62805	H4-16
P62805	H4C1
P62805	H4C11
P62805	H4C12
P62805	H4C13
P62805	H4C14
P62805	H4C15
P62805	H4C2
P62805	H4C3
P62805	H4C4
P62805	H4C5
P62805	H4C6
P62805	H4C8
P62805	H4C9
P53668	Limk1
P45592	Cfl1
P18760	Cfl1
P18888	SNF6
P38956	SNF11
P53628	SNF12
Q80TH2	Erbin
P51141	Dvl1
P70340	Smad1
O08675	F2rl2
P49796	RGS3
Q8NHY2	COP1
P63000	RAC1
P40792	Rac1
P48554	Rac2
Q24572	Caf1
Q7K159	mip40
P04197	Myb
A1Z9E2	mip120
Q9W542	mip130
P40793	Cdc42
Q60680	Chuk
P42282	ttk
P21461	sina
Q27934	phyl
Q61140	Bcar1
Q9UIK4	DAPK2
P60010	ACT1
P80428	ARP4
Q9QY53	Nphp1
Q08649	ESA1
Q12432	EAF3
O43293	DAPK3
O54784	Dapk3
Q96IZ0	PAWR
Q925B0	Pawr
Q9Z1Y0	Rhov
P19491	Gria2
P23819	Gria2
Q9EP80	Pick1
P19492	Gria3
Q8IVG9	MT-RNR2
P51572	BCAP31
Q9UKS6	PACSIN3
Q9Y5X1	SNX9
Q13444	ADAM15
Q13443	ADAM9
Q99JB8	Pacsin3
Q61072	Adam9
Q62420	Sh3gl2
Q16649	NFIL3
P18850	ATF6
Q96BA8	CREB3L1
P17861	XBP1
O15287	FANCG
Q01705	Notch1
Q13813	SPTAN1
Q00597	FANCC
Q9HB96	FANCE
O15360	FANCA
P14625	HSP90B1
P08113	Hsp90b1
P78536	ADAM17
Q13263	TRIM28
Q13185	CBX3
P45973	CBX5
P29350	PTPN6
P20273	CD22
P08758	ANXA5
P55345	PRMT2
Q8WTV0	SCARB1
Q63009	Prmt1
O70467	Prmt3
Q99873	PRMT1
Q9Z1P3	Mcl1
O88498	Bcl2l11
P53762	Arnt
P07901	Hsp90aa1
P27049	Btg2
Q9NRD5	PICK1
Q16515	ASIC2
P78348	ASIC1
P61015	PLN
Q92870	APBB2
P36544	CHRNA7
Q05941	Chrna7
Q92569	PIK3R3
Q62192	Cd180
P39447	Tjp1
Q9P2M7	CGN
Q9PTD7	cgn
Q9Z0U1	Tjp2
P51532	SMARCA4
Q9PUN1	ocln
Q91049	OCLN
P81270	Erg
O88974	Setdb1
Q15047	SETDB1
P68431	H3C1
P68431	H3C10
P68431	H3C11
P68431	H3C12
P68431	H3C2
P68431	H3C3
P68431	H3C4
P68431	H3C6
P68431	H3C7
P68431	H3C8
P51587	BRCA2
P60896	SEM1
Q80Z28	Grb10
P54762	EPHB1
O88529	ARNTL
Q14019	COTL1
Q03048	COF1
Q99714	HSD17B10
O35274	Ppp1r9b
P61169	Drd2
P63088	Ppp1cc
P33724	CAV1
O08839	Bin1
Q9UBC3	DNMT3B
P63165	SUMO1
Q61214	Dyrk1a
Q15303	ERBB4
P78352	DLG4
P13232	IL7
